prompt,notes,expected_genre_labels,predicted_genres,genre_accuracy,genre_recall,expected_intents,intent_hits,prompt_intent_accuracy,precision_at_5,top_k_genre_match,repeated_query_overlap,genre_diversity,artist_diversity,cluster_diversity,small_artist_compliance,top_result_artists,top_result_genres
indie,Pure genre prompt.,['Indie'],['Indie'],True,1.0,['indie'],['indie'],1.0,1.0,1.0,0.0,0.4,1.0,0.8,1.0,"['ARIETE', 'MisterWives', 'The Wombats', 'Hayley Kiyoko', 'Kiiara']","['indie', 'indie-pop', 'indie', 'indie-pop', 'indie-pop']"
punk,Pure genre prompt for a rock-adjacent subgenre.,['Rock'],['Rock'],True,1.0,['punk'],['punk'],1.0,0.8,0.8,0.0,0.4,1.0,0.8,1.0,"['O Surto', 'Superman Is Dead', 'The All-American Rejects', 'Fito Paez', 'Tequila Baby']","['punk-rock', 'punk-rock', 'punk-rock', 'alt-rock', 'punk-rock']"
hiphop,Pure genre prompt for hip-hop family retrieval.,['Hip-Hop'],['Hip-Hop'],True,1.0,['hiphop'],['hiphop'],1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['DaBaby', 'Terranova', 'Kid Cudi', 'Brazilian Girls', 'Lil Baby']","['hip-hop', 'trip-hop', 'hip-hop', 'trip-hop', 'hip-hop']"
metal,Pure genre prompt for heavy music.,['Rock'],['Rock'],True,1.0,['metal'],['metal'],1.0,0.2,0.0,0.0,0.4,1.0,0.6,1.0,"['Lenny Kravitz', 'Fleetwood Mac', 'The Goo Goo Dolls', 'Jeremy Camp', 'Fito Paez']","['rock', 'rock', 'rock', 'alt-rock', 'alt-rock']"
ledsen,Pure mood prompt for sadness.,[],['Indie'],True,1.0,"['sad', 'melancholic']","['sad', 'melancholic']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Sophie and the Giants', 'Mahalia', 'Snoh Aalegra', 'ARIETE', 'Freddie Gibbs']","['indie', 'alternative', 'alternative', 'indie', 'alternative']"
gråta,Pure mood prompt for crying / heartbreak.,[],['Indie'],True,1.0,"['sad', 'heartbreak']","['sad', 'heartbreak']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Ed Maverick', ""Lil' Kim"", 'Snoh Aalegra', 'Freddie Gibbs', 'Sturgill Simpson']","['indie', 'alternative', 'alternative', 'alternative', 'alternative']"
sorglig,Pure mood prompt for sadness.,[],['Indie'],True,1.0,"['sad', 'melancholic']","['sad', 'melancholic']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['ARIETE', 'Mahalia', 'Snoh Aalegra', 'Royal & the Serpent', 'Freddie Gibbs']","['indie', 'alternative', 'alternative', 'alternative', 'alternative']"
deppig,Pure mood prompt for low-energy melancholy.,[],['Indie'],True,1.0,"['sad', 'melancholic']","['sad', 'melancholic']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Freddie Gibbs', 'Mahalia', 'The National', 'Snoh Aalegra', ""Lil' Kim""]","['alternative', 'alternative', 'indie', 'alternative', 'alternative']"
glad,Pure mood prompt for uplifting music.,[],"['Pop', 'Indie']",True,1.0,"['happy', 'uplifting']","['happy', 'uplifting']",1.0,1.0,1.0,0.0,0.6,1.0,0.8,1.0,"['Lana Del Rey', 'Still Woozy', 'Tommy Keene', 'Material Issue', 'Whethan']","['pop', 'indie-pop', 'power-pop', 'power-pop', 'indie-pop']"
arg,Pure mood prompt for intense or aggressive music.,[],"['Hip-Hop', 'Rock']",True,1.0,"['angry', 'intense']","['angry', 'intense']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['Lenny Kravitz', 'Fleetwood Mac', 'The Goo Goo Dolls', 'Jaymes Young', 'Andy Grammer']","['rock', 'rock', 'rock', 'rock', 'rock']"
lugn,Pure mood prompt for calm listening.,[],['Electronic'],True,1.0,"['calm', 'focus']","['calm', 'focus']",1.0,1.0,1.0,0.0,0.2,1.0,0.8,1.0,"['U137', 'Mohan', 'Eashwar Subramanian', 'Chilly Gonzales', 'David Sylvian']","['ambient', 'ambient', 'ambient', 'ambient', 'ambient']"
plugga,Activity/context prompt for studying.,[],['Electronic'],True,1.0,"['focus', 'study']","['focus', 'study']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['U137', 'Steve Reich', 'Eashwar Subramanian', 'Lauge', 'Sebastian Plano']","['ambient', 'ambient', 'ambient', 'ambient', 'ambient']"
träna,Activity/context prompt for exercise.,[],"['Electronic', 'Rock']",True,1.0,"['workout', 'training']","['workout', 'training']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['Jaymes Young', 'Lenny Kravitz', 'James Blunt', 'Bastille', 'Christina Perri']","['rock', 'rock', 'rock', 'rock', 'rock']"
dansa,Activity prompt for dancing.,[],"['Pop', 'Electronic']",True,1.0,"['dance', 'party']","['dance', 'party']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Sllash & Doppe', 'Huxley', 'Todd Terry', 'Axero', 'TOOMANYLEFTHANDS']","['deep-house', 'deep-house', 'deep-house', 'deep-house', 'electronic']"
fest,Context prompt for party listening.,[],"['Pop', 'Electronic']",True,1.0,"['party', 'club']","['party', 'club']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Damon Hess', 'Coldplay', 'Todd Terry', 'Angelo Ferreri', 'KC Lights']","['deep-house', 'pop', 'deep-house', 'deep-house', 'deep-house']"
natt,Context prompt for late-night music.,[],"['Indie', 'Electronic']",True,1.0,"['night', 'dark']","['night', 'dark']",1.0,1.0,1.0,0.0,0.6,1.0,0.6,1.0,"['TOOMANYLEFTHANDS', 'Michael Brook', 'David Sylvian', 'Tierra Whack', ""Lil' Kim""]","['electronic', 'ambient', 'ambient', 'alternative', 'alternative']"
sommar,Context prompt for summer listening.,[],"['Pop', 'Indie']",True,1.0,"['happy', 'summer']","['happy', 'summer']",1.0,0.8,0.8,0.0,0.6,1.0,0.6,1.0,"['Esteman', 'A R I Z O N A', 'Material Issue', 'Maisie Peters', 'chloe moriondo']","['alt-rock', 'indie-pop', 'power-pop', 'indie-pop', 'indie-pop']"
regnig kväll,Broad Swedish mood/context prompt.,"['Indie', 'Electronic']","['Indie', 'Electronic']",True,1.0,"['night', 'moody']","['night', 'moody']",1.0,1.0,1.0,0.0,0.4,1.0,0.8,1.0,"['Sebastian Plano', 'Tierra Whack', 'Eashwar Subramanian', 'Michael Brook', 'Praveen']","['ambient', 'alternative', 'ambient', 'ambient', 'ambient']"
calm morning music,English context prompt for calm listening.,"['Jazz', 'Classical', 'Indie']",['Electronic'],False,0.0,"['calm', 'morning']","['calm', 'morning']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['Praveen', 'Mary Lattimore', 'Sueño Latino', 'Lauge', 'David Sylvian']","['ambient', 'ambient', 'ambient', 'ambient', 'ambient']"
night drive,English context prompt already partially supported by phrase hints.,"['Electronic', 'Rock']","['Electronic', 'Rock']",True,1.0,"['night', 'drive']","['night', 'drive']",1.0,1.0,0.8,0.0,0.8,1.0,0.6,1.0,"['Michael Brook', 'Joshwa', 'EDDIE', 'Tube & Berger', 'TOOMANYLEFTHANDS']","['ambient', 'deep-house', 'club', 'electronic', 'electronic']"
ledsen indie,Mixed prompt combining genre and emotion.,['Indie'],['Indie'],True,1.0,"['sad', 'melancholic', 'indie']","['sad', 'melancholic', 'indie']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['easy life', 'Mahalia', 'Echosmith', 'Maggie Rogers', 'Caloncho']","['indie-pop', 'alternative', 'indie-pop', 'indie-pop', 'indie-pop']"
arg hiphop,Mixed prompt combining intensity and hip-hop intent.,['Hip-Hop'],"['Hip-Hop', 'Rock']",True,1.0,"['angry', 'intense', 'hiphop']","['angry', 'intense', 'hiphop']",1.0,0.8,0.8,0.0,0.6,1.0,0.8,1.0,"['Machine Gun Kelly', 'Casanovas schwule Seite', 'O Surto', 'Virus', 'Jeremy Camp']","['hip-hop', 'punk-rock', 'punk-rock', 'punk-rock', 'alt-rock']"
mörk svensk indie,"Mixed prompt combining scene, language, and mood.",['Indie'],"['Indie', 'Electronic']",True,1.0,"['dark', 'swedish', 'indie']","['dark', 'swedish', 'indie']",1.0,0.4,0.4,0.0,0.8,1.0,0.8,1.0,"['Sophie and the Giants', 'U137', 'Praveen', 'easy life', 'Tube & Berger']","['indie', 'ambient', 'ambient', 'indie-pop', 'electronic']"
glad sommarpop,"Mixed prompt combining mood, season, and genre.",['Pop'],"['Pop', 'Indie']",True,1.0,"['happy', 'summer', 'pop']","['happy', 'summer', 'pop']",1.0,1.0,1.0,0.0,0.6,1.0,0.6,1.0,"['chloe moriondo', 'Material Issue', 'Still Woozy', 'Hayley Kiyoko', 'Lana Del Rey']","['indie-pop', 'power-pop', 'indie-pop', 'indie-pop', 'pop']"
lugn nattmusik,Mixed prompt combining calm and late-night context.,[],"['Electronic', 'Indie']",True,1.0,"['calm', 'night']","['calm', 'night']",1.0,0.6,0.4,0.0,0.6,1.0,0.6,1.0,"['Praveen', 'Michael Brook', 'Freddie Gibbs', 'Tierra Whack', 'Sophie and the Giants']","['ambient', 'ambient', 'alternative', 'alternative', 'indie']"
