prompt,notes,expected_genre_labels,predicted_genres,genre_accuracy,genre_recall,expected_intents,intent_hits,prompt_intent_accuracy,precision_at_5,top_k_genre_match,repeated_query_overlap,genre_diversity,artist_diversity,cluster_diversity,small_artist_compliance,top_result_artists,top_result_genres
regnig kväll,Broad rainy evening discovery prompt.,"['Indie', 'Electronic']","['Indie', 'Electronic']",True,1.0,"['regn', 'kvall']","['regn', 'kvall']",1.0,1.0,1.0,0.0,0.4,1.0,0.8,1.0,"['David Sylvian', 'U137', 'Eashwar Subramanian', 'Michael Brook', 'Sophie and the Giants']","['ambient', 'ambient', 'ambient', 'ambient', 'indie']"
mörk svensk indie,"Tests scene and language intent, not only mood.",['Indie'],"['Indie', 'Electronic']",True,1.0,"['mork', 'svensk', 'indie']","['mork', 'svensk', 'indie']",1.0,0.0,0.0,0.0,0.4,1.0,0.6,1.0,"['Michael Brook', 'Praveen', 'Tube & Berger', 'David Sylvian', 'Lauge']","['ambient', 'ambient', 'electronic', 'ambient', 'ambient']"
nostalgisk sommarkväll,Abstract seasonal prompt with broad acceptable genres.,"['Pop', 'Indie']","['Pop', 'Indie', 'Electronic']",True,1.0,"['nostalgisk', 'sommar', 'kvall']","['nostalgisk', 'sommar', 'kvall']",1.0,0.6,0.6,0.0,0.8,1.0,0.6,1.0,"['A R I Z O N A', 'Material Issue', 'Róisín Murphy', 'Hayley Kiyoko', 'Lana Del Rey']","['indie-pop', 'power-pop', 'electronic', 'indie-pop', 'pop']"
sad underground rap,Prompt where genre should matter more than exact numeric mood.,['Hip-Hop'],"['Hip-Hop', 'Indie']",True,1.0,"['sad', 'underground', 'rap']","['sad', 'underground', 'rap']",1.0,0.6,0.6,0.0,0.6,1.0,0.8,1.0,"['Mahalia', 'Offset', 'Big Sean', 'Lil Baby', 'The National']","['alternative', 'hip-hop', 'hip-hop', 'hip-hop', 'indie']"
rainy indie,Phrase already partially supported by the current prompt logic.,['Indie'],"['Indie', 'Electronic']",True,1.0,"['rainy', 'indie']","['rainy', 'indie']",1.0,0.6,0.6,0.0,0.8,1.0,0.6,1.0,"['Mahalia', 'U137', 'Sophie and the Giants', 'A R I Z O N A', 'Lauge']","['alternative', 'ambient', 'indie', 'indie-pop', 'ambient']"
night drive,Phrase already partially supported by the current prompt logic.,"['Electronic', 'Rock']","['Electronic', 'Rock']",True,1.0,"['night', 'drive']","['night', 'drive']",1.0,1.0,1.0,0.0,0.6,1.0,0.8,1.0,"['Tube & Berger', 'Kungs', 'Michael Brook', 'JP Cooper', 'Praveen']","['electronic', 'house', 'ambient', 'house', 'ambient']"
calm morning music,Broad calm prompt where exact mood values are less important than intent.,"['Jazz', 'Classical', 'Indie']",['Electronic'],False,0.0,"['calm', 'morning']","['calm', 'morning']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['Praveen', 'Eashwar Subramanian', 'U137', 'Lauge', 'Sebastian Plano']","['ambient', 'ambient', 'ambient', 'ambient', 'ambient']"
festmusik,Simple party prompt for high-energy discovery.,"['Pop', 'Electronic']","['Pop', 'Electronic']",True,1.0,['fest'],['fest'],1.0,0.6,0.6,0.0,0.6,1.0,0.6,1.0,"['Jess Glynne', 'Todd Terry', 'Axero', 'TOOMANYLEFTHANDS', 'Róisín Murphy']","['house', 'deep-house', 'deep-house', 'electronic', 'electronic']"
arg hiphop,Genre-led prompt with explicit affect.,['Hip-Hop'],"['Hip-Hop', 'Rock']",True,1.0,"['arg', 'hiphop']","['arg', 'hiphop']",1.0,0.2,0.2,0.0,0.4,1.0,0.6,1.0,"['Machine Gun Kelly', 'O Surto', 'Casanovas schwule Seite', 'Anberlin', 'Moptop']","['hip-hop', 'punk-rock', 'punk-rock', 'punk-rock', 'punk-rock']"
svensk pop,Language and genre prompt.,['Pop'],['Pop'],True,1.0,"['svensk', 'pop']","['svensk', 'pop']",1.0,1.0,0.4,0.0,0.4,1.0,0.8,1.0,"['Material Issue', 'Lana Del Rey', 'Paul Collins', 'Coldplay', 'Marshall Crenshaw']","['power-pop', 'pop', 'power-pop', 'pop', 'power-pop']"
lofi plugg,Study prompt where the dataset may lack direct lo-fi labels.,['Electronic'],['Electronic'],True,1.0,"['lofi', 'plugg']","['lofi', 'plugg']",1.0,1.0,1.0,0.0,0.4,1.0,0.8,1.0,"['Praveen', 'Lauge', 'Pongo', 'TOOMANYLEFTHANDS', 'Eashwar Subramanian']","['ambient', 'ambient', 'electronic', 'electronic', 'ambient']"
jazz för sen kväll,Genre-first Swedish prompt with time-of-day intent.,['Jazz'],"['Jazz', 'Indie', 'Electronic']",True,1.0,"['jazz', 'kvall']","['jazz', 'kvall']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Nathaniel Rateliff & The Night Sweats', 'Three Dog Night', 'Allen Toussaint', 'Sidiki Diabaté', 'Scott Hamilton']","['blues', 'blues', 'blues', 'blues', 'jazz']"
